              PHASE II Simulation Report:     TBS_Bergen_papey island
=========================================================================

   (Lat1,Long1)         (Lat2,Long2)             heading            distance           time    

  60.397,   5.200       60.583,   5.167          354.984            11.243             0.363 
  60.583,   5.167       60.667,   5.083          333.907             5.573             0.180 
  60.667,   5.083       60.750,   5.000          333.966             5.570             0.180 
  60.750,   5.000       60.833,   4.833          315.769             6.991             0.226 
  60.833,   4.833       60.917,   4.667          315.844             6.982             0.225 
  60.917,   4.667       61.000,   4.583          334.142             5.562             0.179 
  61.000,   4.583       61.083,   4.417          315.994             6.965             0.225 
  61.083,   4.417       61.167,   4.250          316.070             6.956             0.224 
  61.167,   4.250       61.250,   4.000          304.797             8.792             0.284 
  61.250,   4.000       61.286,   2.309          273.301            48.841             1.576 
  61.286,   2.309       61.250,   2.167          242.160             4.662             0.150 
  61.250,   2.167       61.250,   2.000          270.073             4.813             0.155 
  61.250,   2.000       61.250,   1.833          270.073             4.813             0.155 
  61.250,   1.833       61.250,   1.667          270.073             4.813             0.155 
  61.250,   1.667       61.250,   1.500          270.073             4.813             0.155 
  61.250,   1.500       61.333,   1.417          334.379             5.551             0.179 
  61.333,   1.417       61.500,   1.167          324.444            12.317             0.397 
  61.500,   1.167       61.583,   1.000          316.451             6.912             0.223 
  61.583,   1.000       61.667,   0.750          305.156             8.713             0.281 
  61.667,   0.750       62.175,  -0.666          307.943            50.311             1.623 
  62.175,  -0.666       62.083,  -0.917          232.186             8.926             0.288 
  62.083,  -0.917       62.000,  -1.167          234.698             8.635             0.279 
  62.000,  -1.167       62.000,  -1.333          270.074             4.698             0.152 
  62.000,  -1.333       62.000,  -1.500          270.074             4.698             0.152 
  62.000,  -1.500       62.000,  -1.667          270.074             4.698             0.152 
  62.000,  -1.667       62.083,  -1.750          334.918             5.526             0.178 
  62.083,  -1.750       62.250,  -2.000          325.105            12.217             0.394 
  62.250,  -2.000       62.333,  -2.167          317.153             6.832             0.220 
  62.333,  -2.167       62.417,  -2.417          305.822             8.572             0.277 
  62.417,  -2.417       63.062,  -3.731          317.556            52.987             1.709 
  63.062,  -3.731       63.000,  -3.917          233.723             6.264             0.202 
  63.000,  -3.917       62.917,  -4.167          233.863             8.462             0.273 
  62.917,  -4.167       62.833,  -4.500          241.411            10.407             0.336 
  62.833,  -4.500       62.833,  -4.667          270.074             4.569             0.147 
  62.833,  -4.667       62.833,  -4.833          270.074             4.569             0.147 
  62.833,  -4.833       63.000,  -5.000          335.595            10.995             0.355 
  63.000,  -5.000       63.167,  -5.250          325.933            12.096             0.390 
  63.167,  -5.250       63.250,  -5.417          318.040             6.736             0.217 
  63.250,  -5.417       63.333,  -5.667          306.674             8.399             0.271 
  63.333,  -5.667       63.948,  -6.894          318.982            49.298             1.590 
  63.948,  -6.894       63.917,  -7.000          236.470             3.367             0.109 
  63.917,  -7.000       63.833,  -7.250          232.986             8.290             0.267 
  63.833,  -7.250       63.750,  -7.667          245.823            12.128             0.391 
  63.750,  -7.667       63.750,  -8.167          270.224            13.278             0.428 
  63.750,  -8.167       63.750,  -8.667          270.224            13.278             0.428 
  63.750,  -8.667       63.833,  -8.750          336.209             5.470             0.176 
  63.833,  -8.750       64.000,  -9.000          326.707            11.987             0.387 
  64.000,  -9.000       64.167,  -9.333          318.992            13.291             0.429 
  64.167,  -9.333       64.250,  -9.583          307.568             8.227             0.265 
  64.250,  -9.583       64.832, -10.160          337.208            37.983             1.225 
  64.832, -10.160       64.667, -10.250          193.163            10.200             0.329 
  64.667, -10.250       64.500, -10.333          192.150            10.235             0.330 
  64.500, -10.333       64.333, -10.500          203.431            10.900             0.352 
  64.333, -10.500       64.250, -10.750          232.573             8.212             0.265 
  64.250, -10.750       64.167, -11.083          240.269            10.043             0.324 
  64.167, -11.083       64.250, -11.500          294.874            11.980             0.386 
  64.250, -11.500       64.250, -11.917          270.188            10.868             0.351 
  64.250, -11.917       64.250, -12.333          270.188            10.868             0.351 
  64.250, -12.333       64.250, -12.750          270.188            10.868             0.351 
  64.250, -12.750       64.593, -14.166          299.961            42.099             1.358 

Number of Way points: 61

Total Voyage Distance: 724.3455963114446

Total Sailing Time: 23.36598697778853

--------------------End of Report----------------------
